player_id,player_name
519058,"Moustakas, Mike"
677950,"Thomas, Alek"
643393,"Kemp, Tony"
602104,"Urías, Ramón"
500743,"Rojas, Miguel"
643396,"Kiner-Falefa, Isiah"
668472,"Pratto, Nick"
656811,"O'Hearn, Ryan"
664913,"Brown, Seth"
605119,"Anderson, Brian"
518792,"Heyward, Jason"
668670,"Rogers, Jake"
680977,"Donovan, Brendan"
641598,"Garver, Mitch"
608336,"Gallo, Joey"
657557,"DeJong, Paul"
657757,"Sheets, Gavin"
641584,"Fraley, Jake"
670764,"Walls, Taylor"
658668,"Olivares, Edward"
668731,"Baddoo, Akil"
672275,"Bailey, Patrick"
593871,"Polanco, Jorge"
596129,"Vogelbach, Daniel"
571657,"Farmer, Kyle"
680776,"Duran, Jarren"
660162,"Moncada, Yoán"
624415,"Biggio, Cavan"
408234,"Cabrera, Miguel"
628451,"Ibáñez, Andy"
666181,"Benson, Will"
621439,"Buxton, Byron"
666165,"Sabol, Blake"
543305,"Hicks, Aaron"
668942,"Rojas, Josh"
672356,"Arias, Gabriel"
655316,"Monasterio, Andruw"
642350,"Siri, Jose"
594807,"Duvall, Adam"
680777,"Jeffers, Ryan"
667452,"Julks, Corey"
676694,"Meyers, Jake"
543877,"Vázquez, Christian"
621550,"Wisdom, Patrick"
622761,"Mateo, Jorge"
671221,"Waters, Drew"
673237,"Diaz, Yainer"
687263,"Neto, Zach"
592178,"Bryant, Kris"
516782,"Marte, Starling"
516416,"Segura, Jean"
665155,"Maton, Nick"
666135,"Kirilloff, Alex"
642136,"Thaiss, Matt"
676475,"Burleson, Alec"
664056,"Bader, Harrison"
500871,"Escobar, Eduardo"
543063,"Crawford, Brandon"
622534,"Margot, Manuel"
665828,"Cabrera, Oswaldo"
668709,"Bleday, JJ"
678246,"Vargas, Miguel"
680911,"Miller, Owen"
669222,"Senzel, Nick"
493329,"Gurriel, Yuli"
643376,"Jansen, Danny"
542194,"Bethancourt, Christian"
621563,"Wendle, Joey"
649557,"Díaz, Aledmys"
641343,"Bauers, Jake"
669397,"Allen, Nick"
660707,"Montero, Elehuris"
666160,"Moniak, Mickey"
680869,"Gelof, Zack"
676609,"Caballero, José"
656896,"Rivera, Emmanuel"
663743,"Fortes, Nick"
664728,"Isbel, Kyle"
624641,"Sosa, Edmundo"
664983,"McCarthy, Jake"
608671,"Jankowski, Travis"
606992,"Haase, Eric"
518595,"d'Arnaud, Travis"
596142,"Sánchez, Gary"
607732,"Stallings, Jacob"
672478,"Diaz, Jordan"
543068,"Cron, C.J."
663611,"Madrigal, Nick"
641820,"Mancini, Trey"
666185,"Carlson, Dylan"
670242,"Wallner, Matt"
641933,"O'Neill, Tyler"
656448,"Garrett, Stone"
645801,"Ford, Mike"
680779,"Davis, Henry"
670097,"Short, Zack"
545121,"Vargas, Ildemaro"
670032,"Lopez, Nicky"
572761,"Carpenter, Matt"
686469,"Pasquantino, Vinnie"
666310,"Naylor, Bo"
543309,"Higashioka, Kyle"
608701,"Refsnyder, Rob"
666801,"Castro, Rodolfo"
605612,"Castro, Harold"
669289,"Espinal, Santiago"
543939,"Wong, Kolten"
669701,"Smith, Josh"
641658,"Hampson, Garrett"
669477,"Schmitt, Casey"
641943,"Palacios, Joshua"
656413,"Fairchild, Stuart"
458015,"Votto, Joey"
687952,"Encarnacion-Strand, Christian"
693049,"Colás, Oscar"
446334,"Longoria, Evan"
571745,"Haniger, Mitch"
656976,"Smith, Pavin"
666023,"Fermin, Freddy"
663616,"Larnach, Trevor"
621028,"Newman, Kevin"
668904,"Lewis, Royce"
682641,"Matos, Luis"
621438,"Taylor, Tyrone"
570482,"Urshela, Gio"
686217,"Frelick, Sal"
676701,"Trejo, Alan"
676059,"Westburg, Jordan"
543510,"McCann, James"
668901,"Vientos, Mark"
669707,"Triolo, Jared"
